time,temperature,comfort_index
2025-09-24 00:00:00,25.6,87.2
2025-09-24 01:00:00,27.5,86.25
2025-09-24 02:00:00,29.3,85.35
2025-09-24 03:00:00,30.3,84.85
2025-09-24 04:00:00,31.0,84.5
2025-09-24 05:00:00,31.5,84.25
2025-09-24 06:00:00,33.6,83.2
2025-09-24 07:00:00,34.0,83.0
2025-09-24 08:00:00,34.1,82.95
2025-09-24 09:00:00,33.3,83.35
2025-09-24 10:00:00,32.3,83.85
2025-09-24 11:00:00,30.9,84.55
2025-09-24 12:00:00,29.6,85.2
2025-09-24 13:00:00,28.9,85.55
2025-09-24 14:00:00,28.3,85.85
2025-09-24 15:00:00,27.8,86.1
2025-09-24 16:00:00,27.3,86.35
2025-09-24 17:00:00,27.0,86.5
2025-09-24 18:00:00,26.7,86.65
2025-09-24 19:00:00,26.4,86.8
2025-09-24 20:00:00,25.9,87.05
2025-09-24 21:00:00,25.8,87.1
2025-09-24 22:00:00,25.6,87.2
2025-09-24 23:00:00,25.5,87.25
2025-09-25 00:00:00,25.8,87.1
2025-09-25 01:00:00,26.7,86.65
2025-09-25 02:00:00,28.3,85.85
2025-09-25 03:00:00,29.9,85.05
2025-09-25 04:00:00,31.3,84.35
2025-09-25 05:00:00,32.8,83.6
2025-09-25 06:00:00,33.2,83.4
2025-09-25 07:00:00,33.1,83.45
2025-09-25 08:00:00,33.0,83.5
2025-09-25 09:00:00,32.7,83.65
2025-09-25 10:00:00,32.1,83.95
2025-09-25 11:00:00,31.3,84.35
2025-09-25 12:00:00,30.5,84.75
2025-09-25 13:00:00,29.9,85.05
2025-09-25 14:00:00,29.5,85.25
2025-09-25 15:00:00,29.0,85.5
2025-09-25 16:00:00,28.5,85.75
2025-09-25 17:00:00,28.0,86.0
2025-09-25 18:00:00,27.6,86.2
2025-09-25 19:00:00,27.2,86.4
2025-09-25 20:00:00,26.6,86.7
2025-09-25 21:00:00,26.3,86.85
2025-09-25 22:00:00,26.1,86.95
2025-09-25 23:00:00,26.1,86.95
2025-09-26 00:00:00,26.6,86.7
2025-09-26 01:00:00,29.5,85.25
2025-09-26 02:00:00,31.7,84.15
2025-09-26 03:00:00,33.5,83.25
2025-09-26 04:00:00,34.9,82.55
2025-09-26 05:00:00,35.3,82.35
2025-09-26 06:00:00,36.0,82.0
2025-09-26 07:00:00,36.1,81.95
2025-09-26 08:00:00,34.7,82.65
2025-09-26 09:00:00,32.1,83.95
2025-09-26 10:00:00,30.3,84.85
2025-09-26 11:00:00,29.3,85.35
2025-09-26 12:00:00,28.9,85.55
2025-09-26 13:00:00,29.0,85.5
2025-09-26 14:00:00,28.8,85.6
2025-09-26 15:00:00,28.6,85.7
2025-09-26 16:00:00,28.0,86.0
2025-09-26 17:00:00,27.7,86.15
2025-09-26 18:00:00,27.3,86.35
2025-09-26 19:00:00,27.1,86.45
2025-09-26 20:00:00,27.1,86.45
2025-09-26 21:00:00,26.9,86.55
2025-09-26 22:00:00,26.8,86.6
2025-09-26 23:00:00,26.7,86.65
2025-09-27 00:00:00,26.8,86.6
2025-09-27 01:00:00,29.0,85.5
2025-09-27 02:00:00,30.8,84.6
2025-09-27 03:00:00,32.6,83.7
2025-09-27 04:00:00,33.9,83.05
2025-09-27 05:00:00,34.9,82.55
2025-09-27 06:00:00,35.0,82.5
2025-09-27 07:00:00,34.3,82.85
2025-09-27 08:00:00,33.1,83.45
2025-09-27 09:00:00,32.8,83.6
2025-09-27 10:00:00,32.1,83.95
2025-09-27 11:00:00,29.6,85.2
2025-09-27 12:00:00,29.2,85.4
2025-09-27 13:00:00,28.5,85.75
2025-09-27 14:00:00,28.0,86.0
2025-09-27 15:00:00,27.6,86.2
2025-09-27 16:00:00,27.4,86.3
2025-09-27 17:00:00,27.3,86.35
2025-09-27 18:00:00,27.2,86.4
2025-09-27 19:00:00,26.9,86.55
2025-09-27 20:00:00,26.6,86.7
2025-09-27 21:00:00,26.4,86.8
2025-09-27 22:00:00,26.1,86.95
2025-09-27 23:00:00,25.8,87.1
2025-09-28 00:00:00,26.2,86.9
2025-09-28 01:00:00,27.7,86.15
2025-09-28 02:00:00,29.9,85.05
2025-09-28 03:00:00,31.6,84.2
2025-09-28 04:00:00,32.2,83.9
2025-09-28 05:00:00,32.3,83.85
2025-09-28 06:00:00,32.2,83.9
2025-09-28 07:00:00,32.2,83.9
2025-09-28 08:00:00,32.1,83.95
2025-09-28 09:00:00,31.7,84.15
2025-09-28 10:00:00,31.1,84.45
2025-09-28 11:00:00,30.2,84.9
2025-09-28 12:00:00,29.4,85.3
2025-09-28 13:00:00,28.8,85.6
2025-09-28 14:00:00,28.4,85.8
2025-09-28 15:00:00,27.9,86.05
2025-09-28 16:00:00,27.6,86.2
2025-09-28 17:00:00,27.3,86.35
2025-09-28 18:00:00,27.0,86.5
2025-09-28 19:00:00,26.7,86.65
2025-09-28 20:00:00,26.4,86.8
2025-09-28 21:00:00,26.2,86.9
2025-09-28 22:00:00,25.9,87.05
2025-09-28 23:00:00,25.7,87.15
2025-09-29 00:00:00,26.1,86.95
2025-09-29 01:00:00,27.7,86.15
2025-09-29 02:00:00,29.9,85.05
2025-09-29 03:00:00,31.8,84.1
